Date,SIEMENS.NS,TCS.NS,SIEMENS.NS,TCS.NS,SIEMENS.NS,TCS.NS,NHPC.NS
2025-03-03,4836.7001953125,3450.56591796875,4836.7001953125,3450.56591796875,4836.7001953125,3450.56591796875,72.93035125732422
2025-03-04,4931.89990234375,3489.091796875,4931.89990234375,3489.091796875,4931.89990234375,3489.091796875,73.129150390625
2025-03-05,5085.75,3503.9091796875,5085.75,3503.9091796875,5085.75,3503.9091796875,75.89249420166016
2025-03-06,5160.2998046875,3557.7958984375,5160.2998046875,3557.7958984375,5160.2998046875,3557.7958984375,77.04554748535156
2025-03-07,5106.10009765625,3567.27880859375,5106.10009765625,3567.27880859375,5106.10009765625,3567.27880859375,76.56842041015625
2025-03-10,4974.5498046875,3545.990966796875,4974.5498046875,3545.990966796875,4974.5498046875,3545.990966796875,75.34579467773438
2025-03-11,4942.0498046875,3531.815673828125,4942.0498046875,3531.815673828125,4942.0498046875,3531.815673828125,76.1211166381836
2025-03-12,4905.75,3463.555908203125,4905.75,3463.555908203125,4905.75,3463.555908203125,77.89044952392578
2025-03-13,4927.89990234375,3468.346923828125,4927.89990234375,3468.346923828125,4927.89990234375,3468.346923828125,77.10517883300781
2025-03-17,4936.4501953125,3455.1591796875,4936.4501953125,3455.1591796875,4936.4501953125,3455.1591796875,77.86063385009766
2025-03-18,4936.4501953125,3455.1591796875,4936.4501953125,3455.1591796875,4936.4501953125,3455.1591796875,77.86063385009766
2025-03-19,5224.5,3454.56689453125,5224.5,3454.56689453125,5224.5,3454.56689453125,79.71942138671875
2025-03-20,5194.10009765625,3519.813232421875,5194.10009765625,3519.813232421875,5194.10009765625,3519.813232421875,79.56037902832031
2025-03-21,5200.64990234375,3534.58154296875,5200.64990234375,3534.58154296875,5200.64990234375,3534.58154296875,82.06527709960938
2025-03-24,5223.2001953125,3584.81298828125,5223.2001953125,3584.81298828125,5223.2001953125,3584.81298828125,83.11893463134766
2025-03-25,5119.10009765625,3613.262939453125,5119.10009765625,3613.262939453125,5119.10009765625,3613.262939453125,80.82276916503906
2025-03-26,5418.25,3591.579833984375,5418.25,3591.579833984375,5418.25,3591.579833984375,80.45499420166016
